,Jalur,Original Sample (O),mean,Standard Deviation,perc.025,perc.975,t stat.,P-Values,Keputusan,f2
0,PR -> BI,-0.069535327902997,0.06994623145253052,0.032365277573040654,0.00796861123665307,0.1334493333457626,2.1484545512107065,0.032158247461645084,DITERIMA,0.01428942626493812
1,H -> BI,0.287826452012277,0.2839053146850579,0.05778455357721819,0.17055807269268888,0.39576354718555123,4.981027527151371,8.731177780774146e-07,DITERIMA,0.11785349398247967
2,H -> UB,0.4336298412545655,0.43144257950995607,0.07228514257215589,0.2908569936336798,0.5735223597492599,5.998879241632691,3.819689231576717e-09,DITERIMA,0.22479354918539093
3,PV -> BI,-0.0011122919696901381,0.00028381841321647436,0.043855327383478034,-0.08574141496759227,0.08412889209885001,0.025362756044757764,0.9797757571797105,DITOLAK,1.6641765926388747e-06
4,HM -> BI,0.34406201366669975,0.3420482418693023,0.06733017361440838,0.20862303775282526,0.4714997816364229,5.110071684013479,4.594087690268367e-07,DITERIMA,0.12362891028203879
5,FC -> BI,0.04158376515366428,0.038533792801195045,0.0496519278442804,-0.05706857241202002,0.1375327283931249,0.8375055503198245,0.40270939619608237,DITOLAK,0.002825830294420509
6,FC -> UB,0.059393697468838984,0.06199910402998768,0.05367244802974981,-0.040647062250767696,0.17164879010016337,1.1065956491479199,0.2690019679281963,DITOLAK,0.0062510318433798675
7,SI -> BI,0.17266113351577772,0.17362210827384195,0.04762411386656078,0.08020631729410425,0.26937293953286484,3.625498082747773,0.00031802432009886417,DITERIMA,0.05634083245106787
8,EE -> BI,-0.0384765667760539,-0.03240322460680841,0.048005174516932723,-0.12609649556923946,0.05883168168614112,0.8015087365734328,0.42321868307036836,DITOLAK,0.0022483863361062286
9,PE -> BI,0.1439973836692446,0.14573992508062428,0.05996016548625609,0.029149765413984997,0.2615116456997332,2.4015508046296388,0.016690467108069873,DITERIMA,0.027200969476337766
10,BI -> UB,0.3813402248407336,0.3804332605536735,0.07312535944822714,0.2329517278165883,0.5241299164727427,5.2148834237283035,2.699692402963194e-07,DITERIMA,0.17333860217598174
